score,values,id,text,label,prediction_proba,prediction_binary,prediction_label,is_correct
-2.2,"[-3.0, -3.0, -3.0, -2.0, 0.0]",9e5f7b378423778e5f4b89ce592d40ee.2,well the nices boys mostly have the big bottles .,0,0.1640987992286682,0,Informal,True
-1.4,"[-3.0, -3.0, -2.0, 0.0, 1.0]",61788880eb5908ecce6d4d915c3145f8.2,And I am not sure if you qualify there membership stipulations ? ? ! !,0,0.2645898461341858,0,Informal,True
-2.2,"[-3.0, -3.0, -2.0, -2.0, -1.0]",8051e685e38a56350a40060cddda8e33.2,and have four dogs .,0,0.1704132854938507,0,Informal,True
-1.8,"[-3.0, -2.0, -2.0, -2.0, 0.0]",900688f3ef2136018a2e49794122bce4.0,can YOU see without rose - colored glasses ?,0,0.17535044252872467,0,Informal,True
-1.8,"[-3.0, -3.0, -2.0, -1.0, 0.0]",866fdfda21da7fd340835f65fd949335.3,I hope my kids are that motivated in 9th grade .,0,0.24800971150398254,0,Informal,True
-2.2,"[-3.0, -3.0, -3.0, -1.0, -1.0]",69b187f65094aa624826587c60d2790e.1,why do you study this much,0,0.1579883098602295,0,Informal,True
-2.4,"[-3.0, -3.0, -2.0, -2.0, -2.0]",ccd46e3e0d3b1bc002965f047239ddeb.0,MAYBE A BIT OF BOTH !,0,0.12477502971887589,0,Informal,True
-1.8,"[-3.0, -2.0, -2.0, -1.0, -1.0]",de93b40aa72deaa7f62b7bff857ac46b.3,You ca n't find Stage 3 evo 's in the wild .,0,0.1911257654428482,0,Informal,True
-2.2,"[-3.0, -3.0, -2.0, -2.0, -1.0]",f60a15686754a24e37e1343b33fde49e.0,yep get a big gun and sleep with it,0,0.11047700047492981,0,Informal,True
-2.6,"[-3.0, -3.0, -3.0, -3.0, -1.0]",9fa5de1922e8e609d16ac2763c999fdb.2,the feeling is like ... like hevan ! ! ! ! ! !,0,0.14497849345207214,0,Informal,True
-1.2,"[-2.0, -2.0, -1.0, -1.0, 0.0]",fd00c19122a740e4112c0d159f29bee2.0,"Sneezing , coughing , runny watery eyes or eyes fille with pus .",0,0.29594743251800537,0,Informal,True
-2.6,"[-3.0, -3.0, -3.0, -2.0, -2.0]",7e6c311354cb25fa88f6211991eeb0be.2,tape worms ... What is it that you want to know ?,0,0.16485710442066193,0,Informal,True
-1.6,"[-3.0, -2.0, -2.0, -2.0, 1.0]",bb42f5e58f5c47553924adea5931ae3c.2,My sisters pregnancy 's were different and she had one of each .,0,0.29909372329711914,0,Informal,True
-0.8,"[-2.0, -2.0, -1.0, 0.0, 1.0]",a8be6b4a06e5babbc694076198ef0074.2,And they ARE allowed to marry .,0,0.26781249046325684,0,Informal,True
-1.4,"[-3.0, -3.0, -3.0, 1.0, 1.0]",9afa6fd407828dcd80c026bb44c61cfb.0,Laugh Out Loud in text speak .,0,0.2393624484539032,0,Informal,True
-1.8,"[-3.0, -2.0, -2.0, -1.0, -1.0]",795b32811d21455a096a9890f5169880.0,"He is using it , and it is working .",0,0.23360991477966309,0,Informal,True
-1.8,"[-3.0, -2.0, -2.0, -1.0, -1.0]",171bdb2154b02f9ce864626f1ea43a1b.0,I ' m betting the same guy that plays `` Jack '' .,0,0.23693948984146118,0,Informal,True
-2.0,"[-3.0, -3.0, -2.0, -2.0, 0.0]",7db2c8ba3fbda20bb7d3237e95db937d.1,But I order mine without cheese - can ' t handle the two slices of cheese .,0,0.18589350581169128,0,Informal,True
-1.4,"[-3.0, -2.0, -2.0, -1.0, 1.0]",5eeb923e6ced36fa36be6dc21a87df14.4,your not going to get her back until you put her first .,0,0.25796422362327576,0,Informal,True
